"","Date","country","value","year"
"268","2003-03-02","Bulgaria",NA,2003
"269","2003-03-02","Canada",NA,2003
"270","2003-03-02","Chile",0,2003
"271","2003-03-02","France",NA,2003
"272","2003-03-02","Germany",NA,2003
"273","2003-03-02","Hungary",NA,2003
"274","2003-03-02","Japan",NA,2003
"275","2003-03-02","Mexico",NA,2003
"276","2003-03-02","Netherlands",NA,2003
"277","2003-03-02","New.Zealand",NA,2003
"278","2003-03-02","Norway",NA,2003
"279","2003-03-02","Paraguay",NA,2003
"280","2003-03-02","Peru",270,2003
"281","2003-03-02","Poland",NA,2003
"282","2003-03-02","Romania",864,2003
"283","2003-03-02","Russia",NA,2003
"284","2003-03-02","South.Africa",NA,2003
"285","2003-03-02","Spain",NA,2003
"286","2003-03-02","Sweden",NA,2003
"287","2003-03-02","Switzerland",NA,2003
"288","2003-03-02","Ukraine",NA,2003
"289","2003-03-02","United.States",NA,2003
"290","2003-03-02","Uruguay",NA,2003
"291","2003-03-09","Argentina",136,2003
"292","2003-03-09","Australia",NA,2003
"293","2003-03-09","Austria",NA,2003
"294","2003-03-09","Belgium",NA,2003
"295","2003-03-09","Bolivia",460,2003
"296","2003-03-09","Brazil",223,2003
"297","2003-03-09","Bulgaria",NA,2003
"298","2003-03-09","Canada",NA,2003
"299","2003-03-09","Chile",0,2003
"300","2003-03-09","France",NA,2003
"301","2003-03-09","Germany",NA,2003
"302","2003-03-09","Hungary",NA,2003
"303","2003-03-09","Japan",NA,2003
"304","2003-03-09","Mexico",NA,2003
"305","2003-03-09","Netherlands",NA,2003
"306","2003-03-09","New.Zealand",NA,2003
"307","2003-03-09","Norway",NA,2003
"308","2003-03-09","Paraguay",NA,2003
"309","2003-03-09","Peru",312,2003
"310","2003-03-09","Poland",NA,2003
"311","2003-03-09","Romania",824,2003
"312","2003-03-09","Russia",NA,2003
"313","2003-03-09","South.Africa",NA,2003
"314","2003-03-09","Spain",NA,2003
"315","2003-03-09","Sweden",NA,2003
"316","2003-03-09","Switzerland",NA,2003
"317","2003-03-09","Ukraine",NA,2003
"318","2003-03-09","United.States",NA,2003
"319","2003-03-09","Uruguay",NA,2003
"320","2003-03-16","Argentina",134,2003
"321","2003-03-16","Australia",NA,2003
"322","2003-03-16","Austria",NA,2003
"323","2003-03-16","Belgium",NA,2003
"324","2003-03-16","Bolivia",541,2003
"325","2003-03-16","Brazil",213,2003
"326","2003-03-16","Bulgaria",NA,2003
"327","2003-03-16","Canada",NA,2003
"328","2003-03-16","Chile",1,2003
"329","2003-03-16","France",NA,2003
"330","2003-03-16","Germany",NA,2003
"331","2003-03-16","Hungary",NA,2003
"332","2003-03-16","Japan",NA,2003
"333","2003-03-16","Mexico",NA,2003
"334","2003-03-16","Netherlands",NA,2003
"335","2003-03-16","New.Zealand",NA,2003
"336","2003-03-16","Norway",NA,2003
"337","2003-03-16","Paraguay",NA,2003
"338","2003-03-16","Peru",350,2003
"339","2003-03-16","Poland",NA,2003
"340","2003-03-16","Romania",819,2003
"341","2003-03-16","Russia",NA,2003
"342","2003-03-16","South.Africa",NA,2003
"343","2003-03-16","Spain",NA,2003
"344","2003-03-16","Sweden",NA,2003
"345","2003-03-16","Switzerland",NA,2003
"346","2003-03-16","Ukraine",NA,2003
"347","2003-03-16","United.States",NA,2003
"348","2003-03-16","Uruguay",105,2003
"349","2003-03-23","Argentina",153,2003
"350","2003-03-23","Australia",NA,2003
"351","2003-03-23","Austria",NA,2003
"352","2003-03-23","Belgium",NA,2003
"353","2003-03-23","Bolivia",549,2003
"354","2003-03-23","Brazil",228,2003
"355","2003-03-23","Bulgaria",NA,2003
"356","2003-03-23","Canada",NA,2003
"357","2003-03-23","Chile",1,2003
"358","2003-03-23","France",NA,2003
"359","2003-03-23","Germany",NA,2003
"360","2003-03-23","Hungary",NA,2003
"361","2003-03-23","Japan",NA,2003
"362","2003-03-23","Mexico",NA,2003
"363","2003-03-23","Netherlands",NA,2003
"364","2003-03-23","New.Zealand",NA,2003
"365","2003-03-23","Norway",NA,2003
"366","2003-03-23","Paraguay",NA,2003
"367","2003-03-23","Peru",340,2003
"368","2003-03-23","Poland",NA,2003
"369","2003-03-23","Romania",821,2003
"370","2003-03-23","Russia",NA,2003
"371","2003-03-23","South.Africa",NA,2003
"372","2003-03-23","Spain",NA,2003
"373","2003-03-23","Sweden",NA,2003
"374","2003-03-23","Switzerland",NA,2003
"375","2003-03-23","Ukraine",NA,2003
"376","2003-03-23","United.States",NA,2003
"377","2003-03-23","Uruguay",102,2003
"378","2003-03-30","Argentina",158,2003
"379","2003-03-30","Australia",NA,2003
"380","2003-03-30","Austria",NA,2003
